language,1,3,5,10
fra,0.35947712418300654,0.5686274509803921,0.5947712418300654,0.6535947712418301
spa,0.30039525691699603,0.4209486166007905,0.4762845849802372,0.5395256916996047
eng,0.21238938053097345,0.3893805309734513,0.46607669616519176,0.5486725663716814
por,0.20481927710843373,0.3313253012048193,0.39759036144578314,0.463855421686747
tha,0.48936170212765956,0.574468085106383,0.6808510638297872,0.7872340425531915
deu,0.04918032786885246,0.19672131147540983,0.2459016393442623,0.29508196721311475
msa,0.10204081632653061,0.24489795918367346,0.2857142857142857,0.35714285714285715
ara,0.2,0.2923076923076923,0.3384615384615385,0.38461538461538464
average,0.23970798563280651,0.3773346184790765,0.4357064264713939,0.5037153378155514
