language,1,3,5,10
fra,0.6601307189542484,0.7777777777777778,0.8169934640522876,0.8496732026143791
spa,0.5434782608695652,0.7075098814229249,0.7450592885375494,0.8043478260869565
eng,0.25958702064896755,0.5486725663716814,0.6283185840707964,0.7315634218289085
por,0.40963855421686746,0.6385542168674698,0.6987951807228916,0.7650602409638554
tha,0.5531914893617021,0.723404255319149,0.8297872340425532,0.9361702127659575
deu,0.4262295081967213,0.6557377049180327,0.6721311475409836,0.7049180327868853
msa,0.2653061224489796,0.6632653061224489,0.7142857142857143,0.7551020408163265
ara,0.46153846153846156,0.6923076923076923,0.7692307692307693,0.7846153846153846
average,0.4473875170294392,0.6759036751383972,0.7343251728104431,0.7914312953098317
